New column 0,New column 1,New column 2
Amit,Reviewed in India on 4 December 2018,"Ok, cartridge are too costly."
Brijesh Yadav,Reviewed in India on 20 November 2019,in low price very good printer
Amazon Customer,Reviewed in India on 9 March 2018,Not buy this product because ink dry and use cartrige and you not refile ink because ink not working.aap ko Lage gake aap refill kar ke and suctional tool use kar ke printer chalao get to ye aap galat soch rahe ho kyu kinaap 10 paper print karte ho fir se ink bharni padti hai ya suctional tool use karna padta hai baar baar.youtube Jo video dikhate hai vo logo ko misguide karte hai apna product bechane ke liye
farheen,Reviewed in India on 19 January 2018,its ok product very slow cartridge consumption is very high.
Yogesh,Reviewed in India on 9 July 2018,It requires to much ink not good
Preetham Reddy,Reviewed in India on 26 January 2021,"No other opinion.... You can buy this....
Simple to use and good one"
arnab jyoti malakar,Reviewed in India on 16 March 2020,good product...
Sahana khatun,Reviewed in India on 5 November 2019,"User friendly,good printing quality,very good product."
sathish kumar. G,Reviewed in India on 15 September 2022,Very very poor quality printing
Amazon Customer,Reviewed in India on 21 January 2020,Comphotabal use this product
Abhighna,Reviewed in India on 5 October 2018,"Catridges Sucks, doesn't last for long"
Archana Latpate,Reviewed in India on 5 July 2021,Very amazing printer. I loved printing style
FARHAN SIDDIQUI,Reviewed in India on 5 March 2021,Printing is very good I'm use. needle company ink
Devang Singh Rana,Reviewed in India on 24 August 2020,"This item is a HP Printer which is totally slow for printing a paper.. color or black & white both. And I haven't expected performance like that. Very bad
I want to return this item..
But u haven't show option for return this item"
PC KEWAT,Reviewed in India on 18 January 2022,"Product is good, but within 2 days the cartridge got empty how & why???
Pl get me in touch with costumer care"
Ankita Shah,Reviewed in India on 1 March 2021,"Tried connecting it with 4 laptops and just failed to take one print. Everytime I try installing a drive it says not
Compatible with this laptop. I tried it with Mac, linux and a windows laptop too."
Raheem,Reviewed in India on 3 January 2020,Inks is kind off expensive
hem,Reviewed in India on 8 December 2020,Black cortige problem
Arnab Mandal,Reviewed in India on 23 November 2020,"Bad quality printer was given before, used product has been given before, where were the cartridges ?"
Niranjan Sahoo,Reviewed in India on 1 November 2019,It has only A4 printing type.
Ankita Sharma,Reviewed in India on 10 December 2019,"Very useful product..
Buy it"
ksbatra,Reviewed in India on 5 March 2020,Not value for money. Cost of ink cartridge is very high. Not recommended to buy.
Shiv,Reviewed in India on 29 October 2021,1 set of ink is getting over in less than 100 pages hence cost is Rs8/page. It is hopeless product and trap for buying inks.
Surajit Ghorui,Reviewed in India on 29 February 2020,Good print quality
customer,Reviewed in India on 22 November 2018,Suggesting only for household purpose
Shadab Ansari,Reviewed in India on 19 April 2018,"I ordered this printer on 6th of march, 2018. I used it not more than a month and hardly would have taken a print out at the most 20 pages. Now I am unable to print anything as the ink level is not up to the mark. I reconfirmed it with local computer technician and he suggested that I need to refill the cartridges. Not satisfied with the product. I would not recommend this product to anyone."
KARTHIK B,Reviewed in India on 24 March 2019,Not bad
Selvaraj,Reviewed in India on 30 October 2019,Good for better choice this price
Chris Jamie,Reviewed in India on 5 November 2019,"If you think you need a reason to spend money unnecessarily for fun, go for it. Otherwise whoever recommends this product are LIARS.
The cartridge will get it your head, ruin your day and burn your money.
Worst product I have purchased on Amazon!!! And I am still regretting. Whoever wants my printer can have it."
Daya Vyaghra,Reviewed in India on 25 August 2018,"It is easy to install but with iOS, it needed a bit struggling 😐"
Mohit,Reviewed in India on 30 January 2019,Cartage not good
chandan haldar,Reviewed in India on 3 August 2022,Never buy this product.print quality is very bad .
SUNIL KUMAR A,Reviewed in India on 25 October 2020,Quality of printing is excellent in this price range. I feel printer is bulky compare to other brands.
SridharPuram,Reviewed in India on 9 March 2020,"Print & Scan qualities are good. Very useful until future becomes ""Digital correspondence only - completely paperless"", even then its going to work as good scanner for digital storage."
Amazon Customer,Reviewed in India on 21 December 2020,As per my opinion the said product is directly imported from China and keep in ware house no PDI/No checking done and also not inserted the user manual in Indian language or English language. and deliver to Indian customers
Gulfam Khan,Reviewed in India on 12 November 2021,Nice
Gurudev Gurunath,Reviewed in India on 2 May 2022,Don't by this product is very Bakwas product . And services also very Bad
zaid qureshi,Reviewed in India on 17 September 2021,Bad customer service first time bad exp with amazon bad really bad customer service representative they dont help they will tell u repeatative line we cant do refund
Rajasekhar A.,Reviewed in India on 11 September 2017,"Good printer, but starter ink kit is very little we got 4 pages to print before low ink sign came on."
choudhari Rohit Gangaadhar,Reviewed in India on 5 March 2020,Very nice
Priyanshu Saini,Reviewed in India on 28 July 2019,It doesnt work at all very disgusting printer its cartridge is too expensive and the given cartridge worked only for 10 prints
Sonia,Reviewed in India on 5 September 2018,"I have ordered this printer a month ago and this printer printed just 25-30 pages and it stopped working, we have even refilled the ink and still its not working."
Nabin Kumar Majhi,Reviewed in India on 22 October 2020,"Very nice product to startup a business for beginners at low cost and best quality xerox, printing, &scan........."
SUROJIT GUIN,Reviewed in India on 28 August 2021,Good printing. Nice budget
Hemanth Kumar Saride,Reviewed in India on 16 July 2020,Super and very easy installation and super printing quality but the cartridge cost is high anyway this is wonderful I suggest to buy it.
amrika thakur,Reviewed in India on 20 August 2021,Bhai under bhi mast hai
Jaiveer,Reviewed in India on 18 October 2020,"This is nice one product I purchased last week now is fine working ...

Thank for Amazon"
Yey,Reviewed in India on 7 March 2017,Wish that the refill cartridge have been under Rs.300 to make it effective for home use
JKV,Reviewed in India on 18 November 2017,"Gets the work done but there is no wifi enabled functionality. Anyway, it is worth it for the price."
Amazon Customer,Reviewed in India on 17 November 2019,Good bargain for the price. Good for people with basic print jobs of once or twice a week. Bought to assist in kid’s school projects. Nice and easy print and scan functionality.
Amazon Customer,Reviewed in India on 9 August 2016,Nice printer but the ink finishes very fast and it is very costly and the printing speed is very slow
LOKNATH MONDAL,Reviewed in India on 18 July 2017,"It is a very good product and gave it bright print....but ink is very low..
Thanks Amazon for good and quick Delivery."
Dass bro,Reviewed in India on 31 August 2021,No like this item
Divya S.,Reviewed in India on 8 November 2019,It's good for home use
Rocker,Reviewed in India on 5 March 2020,This printer is good as it works fine after 1 year of use and the print quality is also good for normal prints. Best for students and home use.
Amazon Customer,Reviewed in India on 14 October 2019,"Didn't get the CD to install, so I visited the HP Website and followed the instructions. I don't prefer to buy this again as the cost of cartridge is high. The print quality is somewhat okay, but not satisfied with the scanner. The automatic ""beautification"" will push me into trouble. Hope to get an ink tank printer."
Sharwan K.,Reviewed in India on 6 July 2022,Each page printing takes time more than 3 to 5 minutes.
N Ramesh,Reviewed in India on 30 August 2017,The Black cartridge is faulty I have to buy a new cartridge from HP I need new replacement or amount
Shazad Hussain,Reviewed in India on 3 March 2020,Very good
SRIVATSA. A,Reviewed in India on 1 March 2020,good product
prabandhana kalita,Reviewed in India on 10 April 2022, It stopped working after 3 times usage..never buy this printer...really it’s a waste of money
Masab Junaid,Reviewed in India on 8 March 2021,Cartridge getting over very fast and this power button blinking and not getting switch on want to replace as it has 1 year warranty but not showing any return or refund option in my order details
kiran bhangale,Reviewed in India on 2 March 2020,Good product
Muthulakshmi,Reviewed in India on 1 October 2022, Damage product
hardik,Reviewed in India on 4 August 2019,Good but ink refill is more than expected
prabhudesai sachin sudhakar,Reviewed in India on 3 September 2021,All is well
Placeholder,Reviewed in India on 10 August 2021,After 10 printouts and that too black and white the ink got finished. Worst experience frm Amazon. They are recommending this printer and making fool out of thr customers.!
AnimeshChakraborty,Reviewed in India on 19 March 2019,Good product.
manas maity,Reviewed in India on 11 November 2021,Good
satyabrata das,Reviewed in India on 28 February 2020,Good printer
Mohit,Reviewed in India on 18 August 2021,I like this very Much
Rudra Prasad Dash,Reviewed in India on 10 August 2017,Nice product but printing price is very high. Don't buy this product because its ink cost is very high . But in home use it's OK. So one star missing
Vivek Agrawal,Reviewed in India on 5 November 2019,Its ok for home use.
Vemula Naveen Sagar,Reviewed in India on 23 March 2021,"Waste product,when cartridge is completed every time we have to change whole cartridge. And the cost for hp cartridge colour and black is 1400+..... So, please think about it. We can't refill the cartridge."
Kunal Mehta,Reviewed in India on 5 May 2017,"Scanner cannot scan a page which is of greater size than A4. So not suitable piece for office use. Also the colour printer is extremely slow to print. In nutshell, usable only@ home if u require it just once a week."
Vinu,Reviewed in India on 20 February 2020,"Good buy,"
Jaywardhan Khot,Reviewed in India on 13 September 2021,Does not print smoothly. Most of the content miss out from the print because of poor ink distribution. Worst experience. Should have bought one from higher range
Santosh Kanekar,Reviewed in India on 3 May 2016,"There is often a problem in connecting the notebook with the printer. sometimes it takes an hour. Software says ""cant connect"" When it works it gives decent output but you never know when it will connect.

I did not know one had to bother with such basic issues."
Saloni,Reviewed in India on 21 September 2019,"Hello Team, This is to inform you that,the printer I ordered from Amazon is not easy to install, use. I gifted the same to my friend on his birthday(15th Sep, 2019). When he opened it to install and use, that was difficult to use. I want to return this printer. Kindly help me out."
INDRAJ,Reviewed in India on 16 September 2020,अमेजॉन वाले जो हम प्रिंट बुक करते हैं उस प्रिंट को नहीं भेजते बल्कि उसकी जगह दूसरा भेजते हैं मुझे भी 2131 all-in-one प्रिंटर की जगह 2130 प्रिंटर मिला है मैंने वापस रिप्लाई भी किया था दोबारा भी मुझे वही मिला है
ssp,Reviewed in India on 28 July 2020,Most horrible thing I ever purchased on amazon. Never expected such a useless product from hp. Wasting all my A4 sheets and precious cartridge ink in abundance. The paper is always getting stuck inside. 9 in 10 sheets are getting stuck. Don't buy this product..
Amazon Customer,Reviewed in India on 17 July 2017,"Used for 1 month printed almost 20 pages in colour and about 20 - 30 in black and white. Black cartridge can give up to 70 pages while colour can give 50 or more these are low quantity cartridges having less ink so printing will be less. Quality is very high , using good quality paper gives more clarity."
TOM.V.I,Reviewed in India on 26 November 2019,Worth the money.
Arpit,Reviewed in India on 26 February 2019,The printer does not print properly after printing too many pages.
Thilu,Reviewed in India on 31 January 2019,Very good and value product and less space consuming
Kenz,Reviewed in India on 19 September 2020,"Fantastic product but the cartridge is not available in india yet, so it wouldn't be practical buying it now"
A Tirupathi,Reviewed in India on 9 October 2018,There is no sufficient ink
Amazon Customer,Reviewed in India on 10 September 2021,Product is average. Print quality is satisfactory. But no warrenty card or invoice has been provided. I am afraid whether I will get the warranty or not.
ritu,Reviewed in India on 8 September 2022,Black print is not working
suresh pillai,Reviewed in India on 13 April 2021,"Good product, easy to use, and install, good packing."
Mike,Reviewed in India on 4 December 2019,Printer works fine and only drawback is the replacement black cartridge cost 780 rupees which I think is a little on the high side considering its just a single black cartridge.
Dr Vinay Bisen,Reviewed in India on 15 February 2019,Wonderful product in a very good and safe package. Arrived in time and the product is value for money specifically if you are looking for home printing purpose. All in one in this price is very good buy. Goo for it.
Manan bhavsar,Reviewed in India on 25 December 2021,WE CAN AFFORD A PREMIUM SEDAN IN THIS PRINTING COST. I HAD NEVER SEEN THIS MUCH COSTLY PRINTING 12/- PER PAGE
Gopi sethi,Reviewed in India on 18 October 2021,
Saurabh,Reviewed in India on 7 July 2021,"Product doesn’t work at all with Macbook so don’t buy if you are using Macbook. HP support guys also don’t have any idea, so please don’t buy and get headache"
Maha,Reviewed in India on 1 June 2021, Value for money... Loved it😍
IswaryaMadhanke,Reviewed in India on 5 November 2017,It’s doesn't support windows xp even though they have mentioned it
Amazon Customer,Reviewed in India on 4 October 2018,better go for inktank printer
Sanjayan K P,Reviewed in India on 3 July 2021,Very good and easy to use
Satish kumar,Reviewed in India on 1 March 2020,The print quality is superb. Easy to install. Only the main problem is the price of cartridge is too costly. For only occastional use not for daily use.
KamalPreet,Reviewed in India on 5 March 2020,expensive management
Rupak De Chowdhuri,Reviewed in India on 6 April 2019,Good
MD AHMAD,Reviewed in India on 6 November 2021,Super
UNNIKRISHNAN JANARDANAN PILLAI,Reviewed in India on 3 August 2021,"GOOD , KEEP IT UP"
Stanzian,Reviewed in India on 7 October 2020,I got the product but the usb cable is not working and I got a defected usb cable.
satyaveer singh,Reviewed in India on 28 October 2019,Good product for home work
MITHUNTHUNDER,Reviewed in India on 23 May 2018,This printer is awesome but is ink cartridge very small and we can print colour papers 25 to 30 pages and black 30 to 40 pages that's why I give two stars
Manoj Kumar,Reviewed in India on 11 July 2021,Cartridge refill is not allowed and the cost of new Cartridge is 800 rupees which is not affordable for every 100 or less than 100 pages total waste of investment
Milit Mishra,Reviewed in India on 7 October 2018,"Printing is costly, otherwise all ok .overall good product in such type of ammount."
Aman,Reviewed in India on 29 January 2017,"It is the best printer in this price. I can do all the work such as copy, printing, or scanning very easily. It does the work very quickly. It takes very less time to copy whether it is color copy or black & white copy. I am very happy with this produce. Thanks amazon. East or west, amazon is the best."
Glan Stalin,Reviewed in India on 17 November 2018,Print quality is good but the number of pages getting printed is less..
Paritosh kumar,Reviewed in India on 1 November 2018,Very nice product for home/personal use. Easy to handle and install.
Raja Mohan Ivaturi,Reviewed in India on 19 May 2022,Defective item. Wasted 3 weeks in the process after failing to provide item
Sparkle✨,Reviewed in India on 21 December 2018,This product is not very good and extremely disappointed with its functioning!! The black and white Xerox comes but the black and white print out never happens!!
S.P.,Reviewed in India on 15 May 2021,Easy to use and works very well 👍🏻
Karunakar Rao,Reviewed in India on 28 August 2018,Waste of money food cost is more than hen. Refill cost is more than printer. I scrapped it within one refill which gives 5 pages only don't go
Shivnath das,Reviewed in India on 3 November 2019,Good printer for home use
B venkatarao,Reviewed in India on 25 July 2022,Printer cartridge over even after taking 10 prints
Mukundan Uppliappan,Reviewed in India on 20 July 2020,The printer cartridge is gone black I would have taken less than 100 print outs. Don't know because of already used cartridge.
Nitin Shahade,Reviewed in India on 8 July 2021,"Light weight, super printing"
Dinesh,Reviewed in India on 8 June 2021,प्रिंट करते वक्त 2-3 पेपर लाइनिंग के साथ ब्लैंक निकलते हैं खाली निकलते हैं और काफी समय लगता है काले रंग की धारियां बनती हैं बार-बार प्रिंट की कमांड देनी पड़ती है
Mohamed Asarudheen,Reviewed in India on 6 October 2019,Don't by ink tank printers.. Buy ink and suction tool along with this printer and you can refill easily. I have refilled the cartridge more than 10 times. working fine
Vipin kumar,Reviewed in India on 7 April 2018,"its delevery is very fast and awsome look but printing quality is average
best for home uses"
Dinesh Bodke,Reviewed in India on 17 February 2018,not very fine prints but ok for price
Amazon Customer,Reviewed in India on 3 February 2020,"Failed in proper printing after 5 pages..
Neither color nor black and white printing.."
Stephen R.Samson,Reviewed in India on 24 October 2020,"Good product
No issues
Very user friendly
Good and safety package
No damage
Everything good ⭐⭐⭐⭐⭐"
Barnali Mondal,Reviewed in India on 29 January 2020,I like it
Athul Jayaram,Reviewed in India on 21 August 2019,I got a tampered product which Amazon was not willing to replace. After 2 months got the product replaced
shahid,Reviewed in India on 16 May 2022,I want change this product. This not good not prinding take paper middle
Anjali Goswami,Reviewed in India on 7 December 2021,Very slow ..dont buy it ...you will endup by purchesing new cartridges after 70 or 80 pages ..... extremely bad experience
Bob Dilan Renil,Reviewed in India on 18 November 2016,Its Good printer but its catridges are very costly it has around Rs2000 My opinion is do not buy it buy a costly model printer
Sirish Paul,Reviewed in India on 28 October 2019,Best product in low budget.
pritesh patel,Reviewed in India on 8 September 2021,Works as promised
Lucky,Reviewed in India on 24 May 2021,Easy to use and quality is good
Dipak Naskar,Reviewed in India on 3 October 2022,Bad
Daola Lwdwibagor,Reviewed in India on 14 September 2017,"this printer is not suitable for personal or office, so don't buy this printer,this printer is good for kids not for adult, so i request to the products
they argued this printer is suitable for both office and personal use in cheap price in the webpage but after i ve used this printer as my experience it is not in real they argued about this printer to increase their selling portion,so i request to all the customer don't buy this printer,"
Moon,Reviewed in India on 30 March 2019,Good
ABDUL KAREEM,Reviewed in India on 4 December 2020,"The printer is working good, easy to install , ink is billter bit expensive"
ABHISHEK,Reviewed in India on 18 July 2021,In this no scan option
Chirag Kaswala,Reviewed in India on 15 October 2017,"I want 4th o invoice bills, urgently in my id"
Prateek Kumar,Reviewed in India on 18 March 2019,Good
Vinita Selot,Reviewed in India on 21 September 2021,I'm happy
Diyaan,Reviewed in India on 12 October 2019,Good product for affordable rate
uday chawan,Reviewed in India on 24 April 2018,"Fabulous, Good service by Amazon, received the product as I wanted and shown"
Pranav muchhala,Reviewed in India on 18 July 2021,Very happy with the product
Gushmesh,Reviewed in India on 18 December 2020,"AWSOME QUALITY
You can refil the cartridge again and use it
costs low"
MOHD NAZIM,Reviewed in India on 7 July 2021,Very clear and detailed printing.
Amazon Customer,Reviewed in India on 2 August 2018,"The cartridge dried in 5 days , now have to buy another cartridge, we need to prunt 4 to 5 black and white papers everyday , is this normal"
Gavaskar.s,Reviewed in India on 23 January 2020,This catridges sucks....buy better one. thank you.u need to buy catridges time to time.
Yeshwanth,Reviewed in India on 14 April 2021,"It's is waste of money the printing cost is so high and in my home the printer is just occupying only space,very very slow in printing,I recommend u to buy a costly printer"
Rao,Reviewed in India on 23 August 2019,Good but not for long use
Subrata Kayal,Reviewed in India on 24 October 2019,Don't buy this printer. I purchased HP 2130 about a year ago. Now the printer got damaged with warranty period. But HP didn't respond my mail. I asked every offline store for service but didn't get proper solution. Another problem is the cartage dried out if you don't print for 1 month!
Sreenivasan,Reviewed in India on 18 November 2018,HP is HP
RENIS EM,Reviewed in India on 1 May 2018,"OK for personal day to day use. Can't use for office purposes, or printing shop"
Amazon Customer,Reviewed in India on 4 January 2020,Good work printer
Vedant,Reviewed in India on 12 August 2020,"If u r a student
Go for it
#paisavasuldeal
All the 3 options viz print scan and copy are 100%"
Dr. Ashutosh Mishra,Reviewed in India on 22 December 2017,The printer works very well 4star bcoz whenever u start it takes one page for its advertisement
Praveen Boralkar,Reviewed in India on 26 July 2021,Good for this range
Abhilashnayak15,Reviewed in India on 21 December 2020,"I got a used product. Both the cables missing, cartridges already installed, and the printer had leaked ink on the inside. I don't know if it is the fault of Amazon or the seller, but be wary."
Abhishek Kumar,Reviewed in India on 27 July 2019,Good product but not easy to install
javed akhter,Reviewed in India on 23 March 2018,Ink dries with 10 printouts but nice quality
Adlene,Reviewed in India on 11 November 2020,The printer was delivered on time and a really easy printer to use for students
S.Mani R.,Reviewed in India on 3 November 2018,Not That bad
Rajesh P.,Reviewed in India on 13 July 2017,Good to have . quality product and working as per mentioned in specification. Easy to install . HP is the best
Santhosh Ferdinand,Reviewed in India on 19 September 2021,
Kishore,Reviewed in India on 18 August 2021,Very amazing product 👌
Yerriswamy,Reviewed in India on 29 February 2020,Good
Rahul wankhede,Reviewed in India on 14 September 2020,"Hp Deskjet 2331printer very good.
And quality in best price or very smart and fast copy and print."
NM,Reviewed in India on 12 April 2019,"I like the easy setup and not so complicated functions, black and white print comes out absolutely well but the coloured print is not as it should be over all it’s value for money"
Pacha Bharat Kumar,Reviewed in India on 2 May 2019,"Good product.
For a low price better product"
AshokDatar,Reviewed in India on 26 August 2021,Easy to use.
mishra indresh,Reviewed in India on 18 July 2022, Kanch Tuta Hua isliye na pasand hai
Placeholder,Reviewed in India on 27 November 2018,Quality is OK. But price of cartridge is high and not affordable.
Amazon Customer,Reviewed in India on 28 February 2020,Easy
Jijesh,Reviewed in India on 30 August 2020,"Very good product, purchased 1 month back and the print quantity is very good. Easy to setup n print."
Arsh Khan,Reviewed in India on 25 May 2021,It is a value for money product
Dr. Jagdish Ram Chaudhary,Reviewed in India on 14 March 2018,Printer is good but it's ink is so expensive. One cartilage print or Xerox only 80 copy.
Abhishek gupta,Reviewed in India on 27 November 2021, Printer not working cartridge light blinking continuously very disappointing tired all possible way available on hp website still not working
Vinod jha,Reviewed in India on 28 October 2017,Product was awesome in this price range but cartridge is too small.. after printing 30 page it finished
PANKAJ KUMAR,Reviewed in India on 13 July 2020,Defective one..catridge indicator not working..avoid this item
M.G.SOLANKI,Reviewed in India on 27 January 2020,"THE PRINTER IS UNABLE TO PRINT.I HAVE HARDLY TAKEN ANY COPIES AND NOW ONLY PART OF A PAGE WILL BE PRINTED.WANT THE SAME TO BE INSPECTED AND REPAIRED AT SITE URGENTLY OR U MAY TAKE BACK THE SAME ASAP SINCE IT IS HINDERING MY BUSINESS
MY MOBILE +91 9819823658"
madhur,Reviewed in India on 9 March 2020,Good
Sachin wayam,Reviewed in India on 17 August 2019,Good product but cd -driver missing😒😒
Nahid Ligari,Reviewed in India on 28 November 2015,Package is well... Courier service too much good... Thnx amazon for this valuable product.... cartridge price is very high.
Sudheer,Reviewed in India on 27 January 2021,I really liked the product and easy to install and setup!
Amazon Customer,Reviewed in India on 3 August 2019,Good product at this price point
Placeholder,Reviewed in India on 7 March 2020,In one year it started to create problem. Bad buy
Placeholder,Reviewed in India on 5 March 2019,Good
mehul patel,Reviewed in India on 11 September 2022,"Not good print,"
saif ali khan,Reviewed in India on 6 December 2018,Ink very costly
Palak.Parghi,Reviewed in India on 7 December 2019,Printing is very nice
Prabhakar,Reviewed in India on 26 September 2022, No
Srey,Reviewed in India on 3 June 2021,Satisfied with the purchase. Works well
Jp royal vlogs,Reviewed in India on 5 March 2020,"Can use it as a showcase peice.
Prints only 10-20 colour pages and prints approximately 20 b&w papers.Then u r done with printing.
If u want to purchase new catridge it would cost around 2000.
You can purchase new printer again and use it as a showcase peice."
MANIKANDAN R L,Reviewed in India on 12 November 2018,"THIS PRODUCT IS VERY GOOD AT THIS RATE. SCANNER AND PRINTER BOTH ARE GOOD. COLOR PRINT IS AMAZING. WE CAN USE IT AS SCANNER, XEROX AND AS PRINTER. SO DON'T THINK . JUST BUY THIS WAIT LESS PRINTER. THANKS AMAZAN"
Pushpa.M,Reviewed in India on 16 December 2021,It was working for 2 days and it stopped working after 2 days don't buy it and waste money
Srijit,Reviewed in India on 27 May 2022,"I don't like this product, because printer not conector in 📱 mobile"
Monu,Reviewed in India on 24 February 2020,Ok
Vinod Yadav,Reviewed in India on 27 December 2021,"Please don't buy this printer , its third grade product . It is not worth then 1 k ."
R. Murmu,Reviewed in India on 3 January 2018,"Best product in this price range. Cartridges are pricey,, but ciss can be used. Scanning is awesome, it works even without cartridge. In most of the inkjet mfp all the functions are integrated. If cartridges are opened the printing .scanning stops functioning. But in this printer they functions individually."
Suneeta m.,Reviewed in India on 2 September 2020,Best product in this price range 👍👍 BEST FOR SHORT USE please do buy this one only .
raj,Reviewed in India on 25 August 2022,Bhut bekar product hai printer
Davin,Reviewed in India on 19 July 2020,Amazon I want to return my printer because it's not working properly. I will buy another printer from Amazon. I made a complaint on 17th July to return it but it's not showing in my phone. What will i do to return it.
Meraj ansari,Reviewed in India on 14 April 2022, Painter painting nahi hota hai painter wapas karna hai ₹3000 lagega
Afzal,Reviewed in India on 8 December 2019,"I bought this for my daughters school projects, since then I feel it’s very useful.
It’s easy to install and very easy to handle.
Brings total value for money."
Ravinder Singh SODHI,Reviewed in India on 14 December 2019,Not working smoothly
Veerarajaurs,Reviewed in India on 5 September 2021, Printer quality not good colour print is very worst and black and white also not good so please refund my amount as soon as possible
Avinash81,Reviewed in India on 20 February 2021,Using for android mobile needs an app or 2-3apps installed
VIVEK KUMAR,Reviewed in India on 19 August 2022, Printing no good od
James,Reviewed in India on 1 September 2019,What i expected is i recived.very good product. thanks to hp for offering such product in reasonable price and thanks to amazon for delivering the product within 3days.go through the manual...
Navneesh,Reviewed in India on 28 November 2020,Print quality is good but it's cartridge is available only online and cannot refill again. So you have to buy new cartridge again and again which becomes costly as it only yield 120 pages per cartridge.
vinay singh,Reviewed in India on 31 August 2021,अच्छा है
kalpak,Reviewed in India on 1 November 2020,Very slow printer!
Gyandeep Kumar,Reviewed in India on 24 March 2023,Bad printing quality degrading is seen here and not able to solve this problem of low printing quality it is very bad
Sahil,Reviewed in India on 12 August 2021,printer is good
Divyansh,Reviewed in India on 23 January 2020,Ok product
Pramod Gaikwad,Reviewed in India on 1 April 2022,I have print only 15 paper and now its saying to refill ink. Outrageous...
Raj,Reviewed in India on 11 April 2019,"waste of the money to buy this printer, the link will just dry within 2 weeks if you are not using it, the new cartridge cost is very high , you buy 2 cartridge at the same cost of printer, the cost of printer ink is more then human blood. better use your own blood for printing it will be much cheaper"
NOORUDDIN,Reviewed in India on 22 December 2018,"I am very happy buy in this kind of product HP DeskJet 2131 All-in-One Inkjet Colour Printer to Scanning, Copy, Printing this three functions are very easily method in with easily instal printer."
Avengers,Reviewed in India on 6 September 2020,It is not easy to use....better not to buy from Amazon as the return is not possible in the dissatisfied case....Duplex printing s not possible. Print quality s very poor.Not even 50 pages printed ink got over.Not budget friendly
ankit gautam,Reviewed in India on 4 January 2020,Maintenance is costly ...it costs rs 6 for one black and white print
Amazon Customer,Reviewed in India on 6 September 2020,I liked everything about this product except one - the delivery was delayed by almost a day !
Sandeep Vijayan,Reviewed in India on 25 August 2017,"Product is good, but the life of cartridge is very poor."
Irshad,Reviewed in India on 5 September 2020,This printer is cheap and best for those people who are need few bill in a month.
Sufiyan k.,Reviewed in India on 11 February 2019,The product is really of a good quality.satisfied with it.
Amazon Customer,Reviewed in India on 18 September 2018,It's expensive to maintain
Mukesh Kumar Mallah,Reviewed in India on 2 March 2020,Thanku
Navin Negi,Reviewed in India on 26 September 2020,"Per page is too costly approx 16 to 40 Rupees per page do not recommend for home

Its better print the pages from outside market.

Also shared in the Facebook and recommend my friends and colleagues do not purchase this printers ."
SKP,Reviewed in India on 19 August 2020,"Printer catridge 805 not available anywhere including hp store, without catridge the printer is idle no use.please don't cheat people like this.If the product has no support from its manufacturer please don't list it."
sudhir kate,Reviewed in India on 17 February 2018,"Item is ok,but not received in time."
Nvndn,Reviewed in India on 28 August 2022,Ink will become costlier
Placeholder,Reviewed in India on 28 November 2017,Printer cost is low but ink cartridge cost is too high.
User,Reviewed in India on 8 December 2018,"Its al in one printer..good quality and al the stuff but ink drains off very fast...it gives only 200 pages max for 2 ink cartridges (blank n white)
Ink cartridges are too costly...otherwise its the best printer"
Suresh,Reviewed in India on 27 September 2020,I received my printer today. The Cartridges package was open. I am not able to take color print. Black Ink Printer was of poor quality. Awaiting response from Amazon or Seller on replacement or refund.
rathna sathish,Reviewed in India on 1 August 2021, Nice
A Ganesan,Reviewed in India on 14 September 2020,My printer problem service please
Bhagirath garg,Reviewed in India on 17 November 2020,Average products
M.Amutha Teacher,Reviewed in India on 27 May 2021,Slow print but clear print output
Renuka,Reviewed in India on 1 August 2020,The product is not working.I had put return a week before but no one came for taking the product. What I have to do with the printer which is not working? This is not good.we fed up with the Amazon purchase.
Amazon Customer,Reviewed in India on 14 September 2016,"East to install and easy to work with. Printing, scanning and copying done without any problem. Only the ink cartridge is out after 100 prints."
Kamlesh chauhan,Reviewed in India on 13 February 2020,Good
Prasenjeet Sarkar,Reviewed in India on 10 September 2021,
Dev,Reviewed in India on 20 August 2017,"Nice.. But, ink is very much price. All is good. Exclent"
Harsh kumar,Reviewed in India on 22 August 2019,Printing quality is good but inka khtm hone pe cartiage v chng jo regular thik ny h.
RUDRA PRATAP,Reviewed in India on 9 September 2021,
anima sharma,Reviewed in India on 5 August 2019,Number of pages printed were very less because the ink got dried just after printing 40-45 pages.
Indir Pal Singh,Reviewed in India on 18 September 2021,Completely useless printer. Have been for the last few days. No printing from mac or any customer support from HP. Complete waste of money.
Vivek Vishal,Reviewed in India on 21 September 2017,"In local market you cant find this product. They sell high end models which give more percentage to them. Now talk about the printer, its very good small compat n easy to use gives a decent print copy n scans very nice in a sufficient time. So go for it.."
MAHESH,Reviewed in India on 2 September 2022,Scanner was not working
P.Murali,Reviewed in India on 23 May 2021,This printer is very user friendly.
Amazon prime member,Reviewed in India on 9 April 2021,Fast but can't print on 180 gsm paper
Ravi kumar singh,Reviewed in India on 18 July 2021,I like it .ok
Ankit Ghai,Reviewed in India on 13 August 2021,Product came in perfect packed condition but somehow doesn't work or get installed in either macbook or windows. Just doesn't work. And no technical help available.
samadhan anant patil,Reviewed in India on 5 July 2021,Waste of money...... Cartridge ink get dry in two day's..... Need to fill the ink in two days..... Amazon please don't keep such kind of products for sell..
